Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
29-12-2017,HDFC,EQ,1696.15,1699,1713,1697.55,1710.5,1710.4,1705.73,2178686,3.71624E+14,71859,1794001,0.8234
01-01-2018,HDFC,EQ,1710.4,1710,1711.05,1677.5,1688.8,1683.75,1687.66,1387222,2.34116E+14,23130,1021574,0.7364
02-01-2018,HDFC,EQ,1683.75,1690,1706.25,1685.4,1703.9,1703.25,1696.72,1468475,2.49159E+14,57242,1062750,0.7237
03-01-2018,HDFC,EQ,1703.25,1705.2,1711.8,1695,1700.8,1700.8,1705.57,2133332,3.63854E+14,64174,1698063,0.796
04-01-2018,HDFC,EQ,1700.8,1708.95,1708.95,1691.05,1701,1703.2,1700.65,1585554,2.69647E+14,62081,1183815,0.7466
05-01-2018,HDFC,EQ,1703.2,1716,1731,1705.85,1729,1725.2,1714.69,2302884,3.94873E+14,71515,1837185,0.7978
08-01-2018,HDFC,EQ,1725.2,1729.25,1745,1729,1740,1740.95,1738.55,2997037,5.2105E+14,92109,2348219,0.7835
09-01-2018,HDFC,EQ,1740.95,1743.85,1748.35,1725,1731,1735.05,1734.42,1470161,2.54987E+14,62506,1152517,0.7839
10-01-2018,HDFC,EQ,1735.05,1730,1739.5,1721.2,1721.2,1726.45,1728.83,1465727,2.53399E+14,54893,1096777,0.7483
11-01-2018,HDFC,EQ,1726.45,1729.9,1745,1724.4,1742,1741.35,1734.73,1680803,2.91574E+14,80353,1318434,0.7844
12-01-2018,HDFC,EQ,1741.35,1744,1764.95,1740.6,1753.1,1760.95,1754.3,3280043,5.75418E+14,79821,2602507,0.7934
15-01-2018,HDFC,EQ,1760.95,1790,1886.8,1778.05,1863,1871.2,1844.67,9486397,1.74993E+15,194187,4219531,0.4448
16-01-2018,HDFC,EQ,1871.2,1870,1870,1835.75,1854,1845.95,1848.3,5373079,9.93105E+14,190975,3795445,0.7064
17-01-2018,HDFC,EQ,1845.95,1841,1869,1841,1854,1858.35,1855,3622589,6.71988E+14,129449,2842549,0.7847
18-01-2018,HDFC,EQ,1858.35,1875.45,1918.65,1865.6,1895,1896.8,1899.71,6605642,1.25488E+15,140122,4498273,0.681
19-01-2018,HDFC,EQ,1896.8,1897,1912.8,1894.35,1904,1901.25,1903.15,2833442,5.39247E+14,68020,1824660,0.644
22-01-2018,HDFC,EQ,1901.25,1901,1924.35,1863.95,1866.3,1872,1886.09,3649174,6.88265E+14,116325,2412594,0.6611
23-01-2018,HDFC,EQ,1872,1874,1896.9,1870.2,1886,1884.65,1884.34,2158639,4.06761E+14,114007,1493303,0.6918
24-01-2018,HDFC,EQ,1884.65,1886.6,1919.55,1880,1911.25,1911.2,1906.41,3401495,6.48464E+14,81310,2226796,0.6547
25-01-2018,HDFC,EQ,1911.2,1917,1922.5,1883.5,1903.35,1908.3,1903.04,4622281,8.79639E+14,95179,3171131,0.6861
29-01-2018,HDFC,EQ,1908.3,1915,1986.05,1909.9,1971.5,1967.6,1952.87,6305147,1.23132E+15,197733,3423734,0.543
30-01-2018,HDFC,EQ,1967.6,1971.5,1971.5,1927.9,1938,1937.5,1944.82,4066082,7.90779E+14,138016,2602799,0.6401
31-01-2018,HDFC,EQ,1937.5,1932.25,1963.05,1918,1955.85,1956.3,1941.93,3665385,7.11793E+14,154763,2434994,0.6643
01-02-2018,HDFC,EQ,1956.3,1963,1975.3,1931.8,1967,1967.55,1962.16,3838192,7.53115E+14,89711,2532286,0.6598
02-02-2018,HDFC,EQ,1967.55,1946,1946,1895,1900,1903.85,1911.07,3272591,6.25415E+14,138634,2226572,0.6804
05-02-2018,HDFC,EQ,1903.85,1866.1,1886,1811.8,1824.95,1823.35,1834.67,6082208,1.11588E+15,175730,4441369,0.7302
06-02-2018,HDFC,EQ,1823.35,1769,1808.8,1757.05,1796.95,1788.6,1780.84,3601190,6.41313E+14,134925,2137255,0.5935
07-02-2018,HDFC,EQ,1788.6,1795,1806.65,1767.05,1781.75,1785.35,1777.76,3549234,6.3097E+14,125909,2505837,0.706
