s_no,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
631,2007-12-19,TCS,1012.0,1028.8,1008.0,1024.5,1010.45,667755,681733716.75,1020.93,,1.3904695927556985,1015.2774999999999,1023.247
632,2007-12-20,TCS,1029.5,1053.95,1023.0,1045.35,1024.5,759005,791020672.15,1042.18,,2.0351390922401085,1020.0350000000001,1022.7139999999999
633,2007-12-24,TCS,1080.0,1120.0,1050.0,1109.7,1045.35,1163916,1276853172.8,1097.03,,6.155832974601822,1027.4724999999999,1023.638
634,2007-12-26,TCS,1115.0,1119.7,1086.15,1100.3,1109.7,726499,796029646.65,1095.71,,-0.8470757862485437,1033.2325,1024.1609999999998
635,2007-12-27,TCS,1105.1,1120.0,1086.55,1110.75,1100.3,1002142,1105195654.4,1102.83,,0.9497409797328044,1038.9725,1025.0079999999998
606,2007-12-27,TCS,1105.1,1120.0,1086.55,1110.75,1100.3,1002142,1105195654.4,1102.83,,0.9497409797328044,1045.685,1025.329
607,2007-12-28,TCS,1100.0,1100.0,1060.0,1082.15,1110.75,549149,596762937.95,1086.7,,-2.574836821967131,1051.49,1024.495
608,2007-12-31,TCS,1083.0,1096.05,1052.0,1077.4,1082.15,539042,585541857.45,1086.26,,-0.4389409970891281,1054.75,1023.8660000000001
1082,2008-01-01,TCS,1077.0,1077.0,1052.0,1054.55,1077.4,232097,245315688.1,1056.95,,-2.120846482272149,1054.9824999999998,1023.518
1083,2008-01-02,TCS,1060.0,1061.0,1031.5,1050.0,1054.55,716231,747504473.2,1043.66,,-0.43146365748423066,1055.9975,1023.2460000000001
1084,2008-01-03,TCS,1030.1,1045.0,1005.35,1011.05,1050.0,1292070,1318520157.1,1020.47,,-3.709523809523814,1054.8899999999999,1022.507
1085,2008-01-04,TCS,1011.05,1022.9,1002.3,1005.2,1011.05,579717,583841891.95,1007.12,,-0.5786063992878601,1053.3725,1021.6190000000001
1086,2008-01-07,TCS,1000.0,1008.8,972.5,975.6,1005.2,911836,892692431.4,979.01,,-2.9446876243533646,1049.0224999999998,1019.705
1087,2008-01-08,TCS,980.0,992.0,969.3,987.85,975.6,801933,787580195.7,982.1,,1.2556375563755637,1046.635,1018.102
1088,2008-01-09,TCS,994.8,1006.0,989.9,996.3,987.85,612532,611504728.95,998.32,,0.8553930252568641,1044.385,1017.058
1089,2008-01-10,TCS,998.0,1009.5,962.0,981.65,996.3,835594,829888988.35,993.17,,-1.470440630332227,1040.7975000000001,1015.9309999999999
1090,2008-01-11,TCS,915.35,1004.0,915.35,989.75,981.65,537297,528952839.55,984.47,,0.8251413436560915,1038.805,1015.265
1091,2008-01-14,TCS,999.8,999.8,955.6,961.15,989.75,1039716,1003751210.15,965.41,,-2.889618590553172,1034.8425,1014.064
1092,2008-01-15,TCS,965.0,968.0,934.0,940.0,961.15,733897,693401544.2,944.82,,-2.2004889975550097,1031.2225,1012.638
1093,2008-01-16,TCS,940.0,966.7,925.0,944.95,940.0,782989,745216759.55,951.76,,0.5265957446808559,1027.9475,1011.451
1094,2008-01-17,TCS,965.8,966.0,919.0,922.7,944.95,1575524,1464352684.3,929.44,,-2.3546219376686595,1022.8575000000001,1009.9639999999999
1095,2008-01-18,TCS,929.5,940.0,897.1,903.2,922.7,1083454,988191069.1,912.07,,-2.113362956540587,1015.75,1008.235
1096,2008-01-21,TCS,904.0,904.7,805.25,831.05,903.2,1210008,1043983780.75,862.79,,-7.988263950398593,1001.8175000000001,1005.1510000000001
1097,2008-01-22,TCS,814.7,990.0,725.0,798.25,831.05,1594218,1236244384.15,775.46,,-3.9468142711028165,986.7149999999999,1001.8389999999999
1098,2008-01-23,TCS,859.0,890.0,805.0,871.95,798.25,1339780,1143320903.35,853.36,,9.23269652364548,974.775,1000.3309999999999
1099,2008-01-24,TCS,870.0,888.0,825.75,843.25,871.95,503334,430948749.3,856.19,,-3.291473134927467,961.4,997.462
1100,2008-01-25,TCS,853.0,897.7,850.1,884.6,843.25,560779,485218444.65,865.26,,4.903646605395793,951.5225,995.55
1101,2008-01-28,TCS,870.0,870.0,825.0,854.3,884.6,621415,524530602.0,844.09,,-3.425276961338466,940.3675,992.9780000000001
1102,2008-01-29,TCS,856.0,884.6,855.0,867.7,854.3,814678,705313180.45,865.76,,1.5685356432166793,931.025,990.4620000000001
1103,2008-01-30,TCS,882.0,892.0,860.0,869.85,867.7,758214,656776993.45,866.22,,0.2477814912988334,922.0174999999999,988.633
1104,2008-01-31,TCS,870.0,890.0,835.35,873.75,869.85,1491739,1302986743.6,873.47,,0.44835316433867645,915.1525000000001,987.2120000000001
1105,2008-02-01,TCS,885.0,941.1,873.3,929.5,873.75,1042380,948708302.65,910.14,,6.380543633762518,911.3675,986.798
